ID,Side,Participant ID,War ID
0,Allies,0,0
1,Allies,1,0
2,Allies,2,0
3,Allies,3,0
4,Allies,4,0
5,Allies,5,0
6,Allies,6,0
7,Allies,7,0
8,Allies,8,0
9,Allies,9,0
10,Allies,10,0
11,Allies,11,0
12,Allies,12,0
13,Allies,0,1
14,Allies,10,1
15,Allies,0,2
16,Allies,13,2
17,Allies,10,2
18,Allies,0,3
19,Allies,0,4
20,Allies,14,4
21,Allies,0,5
22,Allies,15,5
23,Allies,16,5
24,Allies,17,5
25,Allies,18,5
26,Allies,19,5
27,Allies,0,6
28,Allies,0,7
29,Allies,20,7
30,Allies,21,7
31,Allies,22,7
32,Allies,0,8
33,Allies,23,8
34,Allies,21,8
35,Allies,20,8
36,Allies,0,9
37,Allies,0,10
38,Allies,0,11
39,Allies,24,11
40,Allies,0,12
41,Allies,20,12
42,Allies,0,13
43,Allies,25,13
44,Allies,26,13
45,Allies,27,13
46,Allies,28,13
47,Allies,0,14
48,Allies,29,15
49,Allies,0,15
50,Allies,0,16
51,Allies,30,16
52,Allies,0,17
53,Allies,0,18
54,Allies,0,19
55,Allies,31,20
56,Allies,0,21
57,Allies,32,21
58,Allies,0,22
59,Allies,0,23
60,Allies,0,24
61,Allies,32,24
62,Allies,33,25
63,Allies,34,25
64,Allies,0,25
65,Allies,0,26
66,Allies,35,27
67,Allies,0,27
68,Allies,0,28
69,Allies,36,28
70,Allies,0,29
71,Allies,0,30
72,Allies,37,30
73,Allies,38,30
74,Allies,0,31
75,Allies,0,32
76,Allies,39,32
77,Allies,40,32
78,Allies,41,32
79,Allies,42,32
80,Allies,0,33
81,Allies,0,34
82,Allies,0,35
83,Allies,0,36
84,Allies,0,37
85,Allies,0,38
86,Allies,43,38
87,Allies,0,39
88,Allies,0,40
89,Allies,0,41
90,Allies,0,42
91,Allies,0,43
92,Allies,0,44
93,Allies,0,45
94,Allies,0,46
95,Allies,0,47
96,Allies,0,48
97,Allies,0,49
98,Allies,0,50
99,Allies,0,51
100,Allies,38,51
101,Allies,0,52
102,Allies,0,53
103,Allies,0,54
104,Allies,0,55
105,Allies,38,56
106,Allies,0,56
107,Allies,0,57
108,Allies,38,57
109,Allies,44,58
110,Allies,0,58
111,Allies,0,59
112,Allies,45,59
113,Allies,46,59
114,Allies,47,60
115,Allies,48,60
116,Allies,0,61
117,Allies,33,62
118,Allies,49,62
119,Allies,50,62
120,Allies,51,62
121,Allies,52,62
122,Allies,53,62
123,Allies,54,62
124,Allies,55,62
125,Allies,0,62
126,Allies,56,62
127,Allies,57,62
128,Allies,58,62
129,Allies,59,62
130,Allies,0,63
131,Allies,0,64
