ID,Name
0,United States
1,Kingdom of France
2,Canadian Auxiliaries
3,Spanish Empire
4,Iroquois
5,Oneida
6,Tuscarora
7,Watauga  Association
8,Catawba
9,Lenape
10,Choctaw
11,Dutch Republic
12,Mysore
13,Chickasaw
14,Co-belligerent: Great Britain
15,Sweden
16,Kingdom of Sicily
17,Malta Protectorate
18,Kingdom of Portugal
19,Sultanate of Morocco
20,Choctaw Nation
21,Cherokee Nation
22,Creek Allies
23,Lower Creeks
24,Sioux
25,Ho-Chunk
26,Menominee
27,Dakota
28,Potawatomi
29,Republic of Texas
30,California Republic
31,Anti-slavery settlers (Free-Staters)
32,Snoqualmie
33,British Empire
34,French Empire
35,Liberals
36,Washington Territory
37,Confederate States
38,Mexico
39,Indian Home Guard
40,Seminole Nation (Western)
41,Seminole Nation (Florida)
42,Muskogee Nation
43,Crow Nation
44,Samoa
45,Cuban Revolutionaries
46,Filipino Revolutionaries
47,United States - Military government (1899–1902)
48,United States - Civil government (1902-1906)
49,United Kingdom
50,Australia
51,New Zealand
52,India
53,Russian Empire
54,Empire of Japan
55,French Republic
56,German Empire
57,Kingdom of Italy
58,Austro-Hungarian Empire
59,China(until 1900)
60,Cuba
61,Nicaragua
62,Supported by:United Kingdom
63,Haiti
64,United States (since 1917)
65,Russian Empire (until 1917)
66,Kingdom of Serbia
67,Kingdom of Montenegro
68,Kingdom of Romania
69,Kingdom of Greece
70,Belgium
71,Portugal
72,Republic of Armenia
73,Sultanate of Egypt
74,Idrisid Emirate of Asir
75,Emirate of Nejd and Hasa
76,Kingdom of Hejaz
77,Republic of China
78,Siam
79,Brazil
80,White Movement
81,Mountain Republic
82,Makhnovshchina
83,Right SRs
84,Left SRs
85,Green armies
86,Czechoslovakia
87,Canada
88,South Africa
89,Romania
90,Italy
91,Poland
92,Estonia
93,Latvia
94,China
95,Mongolia
96,United States (since 1941)
97,Soviet Union (since 1941)
98,Republic of Poland
99,Czechoslovak Republic
100,Kingdom of Yugoslavia
101,Denmark
102,Norway
103,Netherlands
104,Luxembourg
105,Republic of Cuba
106,Republic of Haiti
107,Argentina
108,Chile
109,Peru
110,United States of Venezuela
111,Liberia
112,Kingdom of Egypt
113,Ethiopian Empire
114,Union of South Africa
115,Sultanate of Muscat and Oman
116,Kingdom of Nepal
117,Mongolian People's Republic
118,Commonwealth of the Philippines
119,Viet Minh
120,Korean Provisional Government
121,South Korea
122,United Nations
123,France
124,Philippines
125,Colombia
126,Spanish State
127,Thailand
128,Turkey
129,South Vietnam
