ID,Conflict,Name,Side
0,American Revolutionary War,United States,Allies
1,American Revolutionary War,Kingdom of France,Allies
2,American Revolutionary War,Canadian Auxiliaries,Allies
3,American Revolutionary War,Spanish Empire,Allies
4,American Revolutionary War,Iroquois,Allies
5,American Revolutionary War,Oneida,Allies
6,American Revolutionary War,Tuscarora,Allies
7,American Revolutionary War,Watauga  Association,Allies
8,American Revolutionary War,Catawba,Allies
9,American Revolutionary War,Lenape,Allies
10,American Revolutionary War,Choctaw,Allies
11,American Revolutionary War,Dutch Republic,Allies
12,American Revolutionary War,Mysore,Allies
13,Cherokee–American wars,United States,Allies
14,Cherokee–American wars,Choctaw,Allies
15,Northwest Indian War,United States,Allies
16,Northwest Indian War,Chickasaw,Allies
17,Northwest Indian War,Choctaw,Allies
18,American–Algerian War,United States,Allies
19,Quasi-War,United States,Allies
20,Quasi-War,Co-belligerent: Great Britain,Allies
21,First Barbary War,United States,Allies
22,First Barbary War,Sweden,Allies
23,First Barbary War,Kingdom of Sicily,Allies
24,First Barbary War,Malta Protectorate,Allies
25,First Barbary War,Kingdom of Portugal,Allies
26,First Barbary War,Sultanate of Morocco,Allies
27,Tecumseh's War,United States,Allies
28,War of 1812,United States,Allies
29,War of 1812,Choctaw Nation,Allies
30,War of 1812,Cherokee Nation,Allies
31,War of 1812,Creek Allies,Allies
32,Creek War,United States,Allies
33,Creek War,Lower Creeks,Allies
34,Creek War,Cherokee Nation,Allies
35,Creek War,Choctaw Nation,Allies
36,Second Barbary War,United States,Allies
37,First Seminole War,United States,Allies
38,Arikara War,United States,Allies
39,Arikara War,Sioux,Allies
40,Winnebago War,United States,Allies
41,Winnebago War,Choctaw Nation,Allies
42,Black Hawk War,United States,Allies
43,Black Hawk War,Ho-Chunk,Allies
44,Black Hawk War,Menominee,Allies
45,Black Hawk War,Dakota,Allies
46,Black Hawk War,Potawatomi,Allies
47,Second Seminole War,United States,Allies
48,Texas Comanche Wars,Republic of Texas,Allies
49,Texas Comanche Wars,United States,Allies
50,Mexican–American War,United States,Allies
51,Mexican–American War,California Republic,Allies
52,Cayuse War,United States,Allies
53,Apache Wars,United States,Allies
54,Navajo Wars,United States,Allies
55,Bleeding Kansas,Anti-slavery settlers (Free-Staters),Allies
56,Puget Sound War,United States,Allies
57,Puget Sound War,Snoqualmie,Allies
58,Rogue River Wars,United States,Allies
59,Third Seminole War,United States,Allies
60,Yakima War,United States,Allies
61,Yakima War,Snoqualmie,Allies
62,Second Opium War,British Empire,Allies
63,Second Opium War,French Empire,Allies
64,Second Opium War,United States,Allies
65,Utah War,United States,Allies
66,Reform War,Liberals,Allies
67,Reform War,United States,Allies
68,Pig War,United States,Allies
69,Pig War,Washington Territory,Allies
70,John Brown's Raid on Harpers Ferry,United States,Allies
71,First and Second Cortina War,United States,Allies
72,First and Second Cortina War,Confederate States,Allies
73,First and Second Cortina War,Mexico,Allies
74,Paiute War,United States,Allies
75,American Civil War,United States,Allies
76,American Civil War,Indian Home Guard,Allies
77,American Civil War,Seminole Nation (Western),Allies
78,American Civil War,Seminole Nation (Florida),Allies
79,American Civil War,Muskogee Nation,Allies
80,Yavapai Wars,United States,Allies
81,Dakota War of 1862,United States,Allies
82,Colorado War,United States,Allies
83,Snake War,United States,Allies
84,Powder River War,United States,Allies
85,Red Cloud's War,United States,Allies
86,Red Cloud's War,Crow Nation,Allies
87,Formosa Expedition,United States,Allies
88,Comanche Campaign,United States,Allies
89,United States expedition to Korea,United States,Allies
90,Modoc War,United States,Allies
91,Red River War,United States,Allies
92,Las Cuevas War,United States,Allies
93,Great Sioux War of 1876,United States,Allies
94,Buffalo Hunters' War,United States,Allies
95,Nez Perce War,United States,Allies
96,Bannock War,United States,Allies
97,Cheyenne War,United States,Allies
98,Sheepeater Indian War,United States,Allies
99,Victorio's War,United States,Allies
100,Victorio's War,Mexico,Allies
101,White River War,United States,Allies
102,Egyptian Expedition,United States,Allies
103,Crow War,United States,Allies
104,Ghost Dance War,United States,Allies
105,Garza War,Mexico,Allies
106,Garza War,United States,Allies
107,Yaqui Wars,United States,Allies
108,Yaqui Wars,Mexico,Allies
109,Second Samoan Civil War,Samoa,Allies
110,Second Samoan Civil War,United States,Allies
111,Spanish–American War,United States,Allies
112,Spanish–American War,Cuban Revolutionaries,Allies
113,Spanish–American War,Filipino Revolutionaries,Allies
114,Philippine–American War,United States - Military government (1899–1902),Allies
115,Philippine–American War,United States - Civil government (1902-1906),Allies
116,Moro Rebellion,United States,Allies
117,Boxer Rebellion,British Empire,Allies
118,Boxer Rebellion,United Kingdom,Allies
119,Boxer Rebellion,Australia,Allies
120,Boxer Rebellion,New Zealand,Allies
121,Boxer Rebellion,India,Allies
122,Boxer Rebellion,Russian Empire,Allies
123,Boxer Rebellion,Empire of Japan,Allies
124,Boxer Rebellion,French Republic,Allies
125,Boxer Rebellion,United States,Allies
126,Boxer Rebellion,German Empire,Allies
127,Boxer Rebellion,Kingdom of Italy,Allies
128,Boxer Rebellion,Austro-Hungarian Empire,Allies
129,Boxer Rebellion,China(until 1900),Allies
130,Crazy Snake's War,United States,Allies
131,Mexican Border War,United States,Allies
132,Little Race War,Cuba,Allies
133,Little Race War,United States,Allies
134,United States occupation of Nicaragua,United States,Allies
135,United States occupation of Nicaragua,Nicaragua,Allies
136,Bluff War,United States,Allies
137,United States occupation of Veracruz,United States,Allies
138,United States occupation of Veracruz,Supported by:United Kingdom,Allies
139,United States occupation of Haiti,United States,Allies
140,United States occupation of Haiti,Haiti,Allies
141,United States occupation of the Dominican Republic,United States,Allies
142,World War I,French Republic,Allies
143,World War I,British Empire,Allies
144,World War I,Kingdom of Italy,Allies
145,World War I,United States (since 1917),Allies
146,World War I,Russian Empire (until 1917),Allies
147,World War I,Empire of Japan,Allies
148,World War I,Kingdom of Serbia,Allies
149,World War I,Kingdom of Montenegro,Allies
150,World War I,Kingdom of Romania,Allies
151,World War I,Kingdom of Greece,Allies
152,World War I,Belgium,Allies
153,World War I,Portugal,Allies
154,World War I,Republic of Armenia,Allies
155,World War I,Sultanate of Egypt,Allies
156,World War I,Idrisid Emirate of Asir,Allies
157,World War I,Emirate of Nejd and Hasa,Allies
158,World War I,Kingdom of Hejaz,Allies
159,World War I,Republic of China,Allies
160,World War I,Siam,Allies
161,World War I,Brazil,Allies
162,Russian Civil War,White Movement,Allies
163,Russian Civil War,Mountain Republic,Allies
164,Russian Civil War,Makhnovshchina,Allies
165,Russian Civil War,Right SRs,Allies
166,Russian Civil War,Left SRs,Allies
167,Russian Civil War,Green armies,Allies
168,Russian Civil War,Czechoslovakia,Allies
169,Russian Civil War,British Empire,Allies
170,Russian Civil War,United Kingdom,Allies
171,Russian Civil War,Canada,Allies
172,Russian Civil War,Australia,Allies
173,Russian Civil War,India,Allies
174,Russian Civil War,South Africa,Allies
175,Russian Civil War,Empire of Japan,Allies
