Conflict,Century,Year,Location,Allies,Opponent(s),Result for the United States and its Allies,Presidents of the United States,
American Revolutionary War,18th Century,1775-1783,Eastern and Southern North America,"United States, Kingdom of France, Canadian Auxiliaries, Spanish Empire, Iroquois, Oneida, Tuscarora, Watauga  Association, Catawba, Lenape, Choctaw, Dutch Republic, Mysore","Great Britain, Loyalists, German Auxiliaries, Iroquois, Onondaga, Cayuga, Seneca, Cherokee",US-allied victory:The American Revolution started as a civil war within the British Empire. It became a larger international war in 1778 once France joined. Treaty of Paris (1783). Britain recognizes the independence of the United States of America and theThirteen Colonies.,"President of the Continental Congress in American Revolutionary War:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin",
Cherokee-American wars,18th Century,1776-1795,Old Southwest,"United States, Choctaw",Cherokee,US-allied victory,"President of the Continental Congress in Cherokee-American wars:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin, residents of the United States:George Washington",
Northwest Indian War,18th Century,1785-1793,Northwest Territory,"United States, Chickasaw, Choctaw","Western Confederacy, Great Britain, British North America",US-allied victory: Treaty of Greenville (1795). American occupation of the Northwest Territory,George Washington,
American-Algerian War,18th Century,1785-1795,Mediterranean Sea and Atlantic Ocean,United States,Regency of Algiers,"Algerian victory: Establishment of theAmerican navy through the Naval Act of 1794. America pay an annual tribute of $21,600. $1 million offered to the Dey",George Washington,
Quasi-War,18th Century,1798-1800,"Atlantic Ocean, the Caribbean, the Indian Ocean and the Mediterranean","United States, Co-belligerent: Great Britain","French Republic, Guadeloupe",Convention of 1800: Peaceful cessation of Franco-American alliance. End of French privateer attacks on American shipping. American neutrality and renunciation of claims by France,John Adams,
First Barbary War,19th Century,1801-1805,"Mediterranean Sea, off the coast ofTripoli","United States, Sweden, Kingdom of Sicily, Malta Protectorate, Kingdom of Portugal, Sultanate of Morocco","Ottoman Tripolitania, Sultanate of Morocco",US-allied victory,Thomas Jefferson,
Tecumseh's War,19th Century,1810-1813,Northwest River Ohio,United States,Tecumseh's Confederacy,US victory,James Madison,
War of 1812,19th Century,1812-1815,Eastern and Central North America,"United States, Choctaw Nation, Cherokee Nation, Creek Allies","United Kingdom, Tecumseh's Confederacy, Spain(1814)",Inconclusive/Other Result: Treaty of Ghent. Military stalemate; both sides' invasion attempts repulsed. Status quo ante bellum. Defeat ofTecumseh's Confederacy. Burning of Washington including the White House and the Capitol,James Madison,
Creek War,19th Century,1813-1814,Southern United States,"United States, Lower Creeks, Cherokee Nation, Choctaw Nation",Red Stick Creek,US-allied victory:Treaty of Fort Jackson,James Madison,
Second Barbary War,19th Century,1815,Mediterranean Sea and the Barbary States,United States,Deylik of Algiers,US victory,James Madison,
